Player,Pos,Squad,League,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,Save%_PK,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,Pass_Cmp_+40y,Pass_Att_+40y,Pass_Cmp_+40y%,GK_Att,GK_Att.1,Pass_Launch%,Pass_AvgLen,Opp,Stp%,#OPA,#OPA/90,AvgDist
Yolanda Aguirre,GK,Sevilla FC,Liga F - ESP,1998,3,2,187,2.1,4,1.93,10,6,60.0,1,0,1,1,50.0,0,0,0.0,0.0,1.0,0.0,3.9,0.39,-0.1,12.0,39.0,30.8,54.0,22.0,53.7,39.4,54.0,11.1,4.0,1.93,16.6
Julia Arrula,GK,Real Sociedad,Liga F - ESP,2006,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,2.7,0.68,0.7,1.0,4.0,25.0,17.0,6.0,23.5,25.9,6.0,0.0,0.0,0.0,17.0
Eunate Astralaga,GK,SD Eibar,Liga F - ESP,2005,9,8,781,8.7,15,1.73,42,27,64.3,4,2,2,4,50.0,0,0,0.0,0.0,1.0,0.0,13.6,0.32,-1.4,70.0,257.0,27.2,212.0,91.0,83.5,52.0,135.0,8.9,5.0,0.58,11.8
Antonia Canales,GK,VCF Femenino,Liga F - ESP,2002,18,18,1620,18.0,32,1.78,97,65,71.1,2,3,13,1,5.6,5,4,20.0,0.0,2.0,1.0,28.7,0.26,-2.3,70.0,180.0,38.9,316.0,150.0,35.8,33.2,297.0,11.1,6.0,0.33,9.4
Mylène Chavas,GK,Real Madrid CF,Liga F - ESP,1998,3,3,270,3.0,1,0.33,4,3,75.0,2,0,1,2,66.7,0,0,0.0,0.0,0.0,0.0,1.1,0.28,0.1,4.0,6.0,66.7,69.0,19.0,5.8,20.7,19.0,10.5,10.0,3.33,20.1
Cata Coll,GK,FC Barcelona,Liga F - ESP,2001,16,16,1395,15.5,10,0.65,27,17,63.0,15,0,1,7,43.8,0,0,0.0,0.0,0.0,0.0,8.0,0.3,-2.0,20.0,32.0,62.5,388.0,23.0,8.2,22.3,64.0,10.9,40.0,2.58,21.4
Laura Coronado,GK,FC Levante Badalona,Liga F - ESP,2003,9,9,783,8.7,8,0.92,25,17,72.0,3,4,2,2,22.2,1,1,0.0,1.0,1.0,0.0,8.7,0.32,0.7,9.0,36.0,25.0,170.0,35.0,18.8,25.2,102.0,3.9,10.0,1.15,14.9
María Echezarreta,GK,Costa Adeje Tenerife,Liga F - ESP,2001,1,1,90,1.0,5,5.0,15,10,73.3,0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,3.7,0.2,-1.3,2.0,15.0,13.3,25.0,13.0,40.0,35.6,31.0,6.5,1.0,1.0,10.4
Sandra Estévez,GK,Granada CF,Liga F - ESP,2002,14,14,1238,13.8,13,0.95,52,39,75.0,8,2,4,6,42.9,1,0,0.0,0.0,3.0,0.0,13.7,0.26,0.7,71.0,159.0,44.7,356.0,96.0,30.9,33.0,148.0,5.4,24.0,1.74,14.5
Gemma Font,GK,FC Barcelona,Liga F - ESP,1999,6,5,495,5.5,2,0.36,12,10,83.3,5,0,0,4,80.0,0,0,0.0,0.0,0.0,0.0,1.9,0.16,-0.1,2.0,5.0,40.0,110.0,11.0,2.7,19.0,18.0,11.1,9.0,1.64,19.5
