Player,Nation,Squad,Posición Principal,Posición Secundaria,League,Born,MP,Min,90s,Gls,Ast,G+A,G-PK,xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,xG+xAG,npxG/90,Sh,SoT,SoT%,SoT/90,G/Sh,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,GCA,GCA90,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,xA,A-xAG,KP,pass_1/3,PPA,CrsPA,PrgP,FK_pass,BallThrough,Switch,Crs,CK_pass,Off,Blocks,Touches,touch_Def Pen,touch_Def 3rd,touch_Mid 3rd,touch_Att 3rd,touch_Att Pen,TO_Succ%,Carries,carries_TotDist,carries_PrgDist,PrgC,carries_1/3,CPA,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off/90,Tkl,TklW,tkl_Def 3rd,tkl_Mid 3rd,tkl_Att 3rd,Tkl/90,Tkl%,Blocks.1,Int,Tkl+Int,Clr,CrdY,CrdR,2CrdY,Fls,Fld,Off.1,PKwon,OG,Recov,Won,Lost,Won%
Teresa Abelleira,ESP,Real Madrid CF,MF,None,Liga F - ESP,2000,19,1251,13.9,1,2,3,1,1.9,0.07,0.14,0.22,0.07,0.14,0.13,0.27,0.08,25,7,28.0,0.5,0.04,26.5,3.0,0,1,1.9,1.2,0.05,-0.9,-0.2,55.0,3.96,4.0,0.29,890.0,1081.0,82.3,17653.0,6395.0,328.0,365.0,89.9,408.0,450.0,90.7,137.0,226.0,60.6,2.7,0.1,27.0,163.0,20.0,3.0,162.0,25.0,1.0,7.0,75,66.0,5.0,10.0,1197.0,21.0,165.0,713.0,328.0,10.0,53.6,712.0,3296.0,1484.0,21.0,20.0,4.0,839.0,24.0,66.0,60.4,13,80.0,9,6,35.0,0.0,2.58,33.0,12.0,21.0,1.51,0.12,22.0,13,5.0,15.0,2.0,3.0,33.3,6.0,9,31.0,8.0,4,0,0,14,7,0,0.0,0,102.0,19.0,14.0,57.6
Daniela Agote,Unknown,Athletic Club,FW,MF,Liga F - ESP,2006,10,203,2.3,1,0,1,1,0.5,0.44,0.0,0.44,0.44,0.31,0.22,0.53,0.31,3,2,66.7,0.89,0.33,6.4,0.0,0,0,0.7,0.7,0.24,0.3,0.3,6.0,2.66,0.0,0.0,26.0,44.0,59.1,342.0,49.0,16.0,21.0,76.2,7.0,13.0,53.8,1.0,3.0,33.3,0.1,-0.5,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,5,2.0,0.0,3.0,73.0,0.0,10.0,26.0,39.0,10.0,25.0,35.0,223.0,66.0,2.0,1.0,0.0,40.0,12.0,20.0,9.8,0,0.0,0,10,20.0,5.0,1.5,2.0,3.0,-1.0,-0.44,-0.25,5.0,4,2.0,1.0,2.0,2.0,50.0,1.0,3,8.0,0.0,1,0,0,4,6,2,0.0,0,10.0,0.0,5.0,0.0
Júlia Aguado,ESP,R. Betis Féminas,FW,MF,Liga F - ESP,2000,11,519,5.8,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.24,0.01,0.25,0.24,9,1,11.1,0.17,0.0,13.8,0.0,0,0,1.4,1.4,0.15,-1.4,-1.4,8.0,1.39,0.0,0.0,72.0,106.0,67.9,957.0,65.0,44.0,57.0,77.2,22.0,33.0,66.7,2.0,6.0,33.3,0.1,-0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3.0,151.0,2.0,17.0,64.0,71.0,17.0,62.5,81.0,369.0,162.0,7.0,5.0,2.0,116.0,21.0,47.0,25.1,6,70.0,0,5,19.0,0.0,1.0,3.0,9.0,-6.0,-1.04,-0.46,2.0,2,1.0,0.0,1.0,1.0,16.7,2.0,2,4.0,1.0,0,0,0,5,3,7,0.0,0,15.0,6.0,16.0,27.3
Yolanda Aguirre,ESP,Sevilla FC,GK,None,Liga F - ESP,1998,3,190,2.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,76.0,60.5,1202.0,805.0,10.0,10.0,100.0,16.0,17.0,94.1,16.0,44.0,36.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,1.0,79.0,69.0,78.0,1.0,0.0,0.0,0.0,38.0,232.0,172.0,0.0,0.0,0.0,18.0,0.0,63.0,9.2,2,90.0,2,1,10.0,17.0,1.0,1.0,4.0,-3.0,-1.42,-0.59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0,0,0,0,0,0.0,0,5.0,0.0,0.0,0.0
Rasheedat Ajibade,NGA,Atlético de Madrid,FW,MF,Liga F - ESP,1999,16,1162,12.9,6,2,8,6,2.4,0.46,0.15,0.62,0.46,0.21,0.19,0.39,0.21,27,12,44.4,0.93,0.22,16.8,0.0,0,0,2.7,2.7,0.1,3.3,3.3,41.0,3.18,4.0,0.31,256.0,377.0,67.9,3980.0,1212.0,143.0,180.0,79.4,81.0,121.0,66.9,23.0,37.0,62.2,2.4,-0.4,22.0,26.0,23.0,7.0,50.0,0.0,0.0,0.0,38,0.0,7.0,21.0,575.0,8.0,75.0,206.0,311.0,74.0,44.1,416.0,2940.0,1520.0,63.0,32.0,33.0,419.0,138.0,73.0,56.1,12,87.0,9,4,29.0,2.0,1.88,20.0,8.0,12.0,0.93,-0.86,27.0,23,10.0,12.0,5.0,8.0,66.7,26.0,7,34.0,8.0,1,0,0,30,25,3,0.0,0,62.0,6.0,3.0,66.7
Ainhoa Alguacil,ESP,VCF Femenino,MF,FW,Liga F - ESP,2006,20,1626,18.1,1,0,1,0,0.8,0.06,0.0,0.06,0.0,0.06,0.05,0.11,0.02,11,2,18.2,0.11,0.0,21.9,0.0,1,1,1.2,0.4,0.04,-0.2,-0.4,46.0,2.55,1.0,0.06,520.0,602.0,86.4,8750.0,2250.0,247.0,266.0,92.9,215.0,239.0,90.0,48.0,69.0,69.6,0.9,-0.8,24.0,55.0,15.0,3.0,84.0,6.0,0.0,0.0,10,1.0,3.0,6.0,734.0,11.0,154.0,360.0,232.0,16.0,45.5,484.0,2858.0,1405.0,38.0,31.0,3.0,531.0,58.0,81.0,78.6,20,81.0,8,0,0.0,1.0,0.6,11.0,30.0,-19.0,-1.05,0.34,32.0,24,11.0,18.0,3.0,16.0,59.3,17.0,15,47.0,4.0,1,0,0,13,18,1,0.0,0,74.0,2.0,3.0,40.0
María Alharilla Casado,ESP,Levante UD,DF,None,Liga F - ESP,1990,20,1673,18.6,1,0,1,1,0.9,0.05,0.0,0.05,0.05,0.02,0.05,0.07,0.02,8,4,50.0,0.22,0.13,17.8,0.0,0,0,0.4,0.4,0.05,0.6,0.6,24.0,1.29,0.0,0.0,672.0,885.0,75.9,11369.0,5715.0,344.0,400.0,86.0,240.0,297.0,80.8,73.0,139.0,52.5,1.4,-0.9,8.0,56.0,14.0,6.0,67.0,11.0,0.0,0.0,29,0.0,6.0,33.0,1058.0,38.0,407.0,436.0,230.0,15.0,56.0,429.0,1813.0,894.0,18.0,6.0,4.0,533.0,52.0,84.0,80.8,19,87.0,12,1,18.0,1.0,0.85,15.0,32.0,-17.0,-0.91,-0.82,61.0,38,41.0,15.0,5.0,33.0,58.9,15.0,33,94.0,31.0,5,0,0,14,15,2,0.0,0,81.0,5.0,9.0,35.7
Amirah Ali,USA,VCF Femenino,FW,MF,Liga F - ESP,1998,9,419,4.7,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,6,1,16.7,0.21,0.0,15.2,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,9.0,1.93,1.0,0.21,46.0,62.0,74.2,549.0,169.0,30.0,36.0,83.3,11.0,16.0,68.8,1.0,3.0,33.3,0.1,-0.1,3.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,1,0.0,0.0,1.0,117.0,3.0,20.0,45.0,56.0,16.0,57.1,75.0,288.0,84.0,3.0,5.0,1.0,72.0,15.0,47.0,20.2,5,62.0,1,4,28.0,0.0,1.0,8.0,7.0,1.0,0.21,-0.29,3.0,2,1.0,1.0,1.0,0.0,0.0,2.0,4,7.0,3.0,1,0,0,3,5,1,0.0,0,16.0,3.0,4.0,42.9
Vitória Almeida,Unknown,VCF Femenino,FW,None,Liga F - ESP,1999,9,431,4.8,1,0,1,1,0.0,0.21,0.0,0.21,0.21,0.16,0.01,0.17,0.16,15,4,26.7,0.84,0.07,18.9,1.0,0,0,0.7,0.7,0.05,0.3,0.3,8.0,1.67,0.0,0.0,61.0,96.0,63.5,822.0,44.0,36.0,47.0,76.6,19.0,27.0,70.4,2.0,6.0,33.3,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4,0.0,2.0,9.0,143.0,6.0,21.0,73.0,50.0,16.0,50.0,79.0,334.0,139.0,7.0,2.0,2.0,102.0,10.0,48.0,20.8,5,70.0,1,4,20.0,3.0,0.22,3.0,9.0,-6.0,-1.25,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,6.0,0,0,0,6,9,7,0.0,0,10.0,10.0,4.0,71.4
Eva Alonso,Unknown,Levante UD,DF,None,Liga F - ESP,2002,20,1487,16.5,1,0,1,1,0.0,0.06,0.0,0.06,0.06,0.03,0.0,0.03,0.03,7,3,42.9,0.18,0.14,17.1,0.0,0,0,0.4,0.4,0.06,0.6,0.6,5.0,0.3,0.0,0.0,753.0,867.0,86.9,14364.0,6359.0,228.0,245.0,93.1,448.0,479.0,93.5,69.0,127.0,54.3,0.1,0.0,1.0,33.0,1.0,0.0,41.0,30.0,0.0,3.0,0,0.0,0.0,7.0,1026.0,185.0,673.0,326.0,30.0,7.0,62.5,497.0,1891.0,1034.0,0.0,3.0,0.0,652.0,4.0,74.0,71.8,17,85.0,14,3,16.0,2.0,0.8,16.0,25.0,-9.0,-0.54,0.12,19.0,14,12.0,6.0,1.0,10.0,58.8,22.0,28,47.0,67.0,3,1,1,13,12,0,0.0,0,73.0,13.0,12.0,52.0
