,Player,url_photo
0,Dolores Gallardo,https://ligaf.es/media/images/2025/img_players/148990.jpg
1,Patricia Larqué,https://ligaf.es/media/images/2025/img_players/420312.jpg
2,Rasheedat Ajibade,https://ligaf.es/media/images/2025/img_players/345079.jpg
3,Merle Barth,https://ligaf.es/media/images/2025/img_players/315618.jpg
4,Vilde Bøe Risa,https://ligaf.es/media/images/2025/img_players/341761.jpg
5,Marta Cardona,https://ligaf.es/media/images/2025/img_players/183779.jpg
6,Fiamma,https://ligaf.es/media/images/2025/img_players/916066.jpg
8,Gio Garbelini,https://ligaf.es/media/images/2025/img_players/825373.jpg
9,Gabriela García,https://ligaf.es/media/images/2025/img_players/350425.jpg
10,Sheila Guijarro,https://ligaf.es/media/images/2025/img_players/190731.jpg
11,Synne Jensen,https://ligaf.es/media/images/2025/img_players/298660.jpg
13,Lauren,https://ligaf.es/media/images/2025/img_players/821122.jpg
14,Silvia Lloris,https://ligaf.es/media/images/2025/img_players/861642.jpg
15,Luany,https://ligaf.es/media/images/2025/img_players/3255217.jpg
16,Andrea Medina,https://ligaf.es/media/images/2025/img_players/917100.jpg
17,Emma Moreno,https://ligaf.es/media/images/2025/img_players/374443.jpg
18,Rosa Otermín,https://ligaf.es/media/images/2025/img_players/3484561.jpg
19,Xènia Pérez,https://ligaf.es/media/images/2025/img_players/3484561.jpg
20,Tatiana Pinto,https://ligaf.es/media/images/2025/img_players/300385.jpg
21,Laura Tanarro,https://ligaf.es/media/images/2025/img_players/995805.jpg
22,Ainhoa Vicente,media/logos/silueta.jpg
23,Ana Vitória,https://ligaf.es/media/images/2025/img_players/345127.jpg
