Squad,Shield URL
Athletic Club,https://cdn.resfu.com/img_data/equipos/8845.png?size=120x&lossy=1&v=1
Atlético de Madrid,https://cdn.resfu.com/img_data/equipos/12279.png?size=120x&lossy=1&v=1
FC Barcelona,https://cdn.resfu.com/img_data/equipos/8852.png?size=120x&lossy=1&v=1
Costa Adeje Tenerife,https://cdn.resfu.com/img_data/equipos/12369.png?size=120x&lossy=1&v=1
Deportivo Abanca,https://cdn.resfu.com/img_data/equipos/8870.png?size=120x&lossy=1&v=1
SD Eibar,https://cdn.resfu.com/img_data/equipos/66085.png?size=120x&lossy=1&v=1
RCD Espanyol,https://cdn.resfu.com/img_data/equipos/8847.png?size=120x&lossy=1&v=1
Granada CF,https://cdn.resfu.com/img_data/equipos/8909.png?size=120x&lossy=1&v=1
FC Levante Badalona,https://cdn.resfu.com/img_data/equipos/20435.png?size=120x&lossy=1&v=1
Levante UD,https://cdn.resfu.com/img_data/equipos/8859.png?size=120x&lossy=1&v=1
Madrid CFF,https://cdn.resfu.com/img_data/equipos/12358.png?size=120x&lossy=1&v=1
R. Betis Féminas,https://cdn.resfu.com/img_data/equipos/10831.png?size=120x&lossy=1&v=1
Real Madrid CF,https://cdn.resfu.com/img_data/equipos/12364.png?size=120x&lossy=1&v=1
Real Sociedad,https://cdn.resfu.com/img_data/equipos/8843.png?size=120x&lossy=1&v=1
Sevilla FC,https://cdn.resfu.com/img_data/equipos/12280.png?size=120x&lossy=1&v=1
VCF Femenino,https://cdn.resfu.com/img_data/equipos/8842.png?size=120x&lossy=1&v=1
Arsenal,https://womensleagues.thefa.com/wp-content/uploads/2023/07/ARSENAL.svg
Aston Villa,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Aston-Villa-Crest-RGB-1.png
Brighton & Hove Albion,https://womensleagues.thefa.com/wp-content/uploads/2023/07/BRIGHTON.svg
Chelsea,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Chelsea.svg
Crystal Palace,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Crystal-Palace.svg
Everton,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Everton.svg
Leicester City,https://womensleagues.thefa.com/wp-content/uploads/2023/07/LCFCLogo-1.png
Liverpool,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Liverbird_LFC-CMYK_White.png
Manchester City,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Man-City.svg
Manchester United,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Manchester_United_FC_crest_1.svg
Tottenham Hotspur,https://womensleagues.thefa.com/wp-content/uploads/2023/07/Tottenham-Hotspur-1.svg
West Ham United,https://womensleagues.thefa.com/wp-content/uploads/2023/07/West-Ham.svg
Bayern München,https://assets.dfb.de/uploads/000/312/135/original_FC_Bayern_Muenchen_500x500x_ab_10_2024.jpg?1730901289
Eintracht Frankfurt,https://assets.dfb.de/uploads/000/018/117/original_Eintracht_Frankfurt.jpg?1493059503
VfL Wolfsburg,https://assets.dfb.de/uploads/000/300/941/original_VfL_Wolfsburg_500x500_2024.jpg?1712667245
Bayer 04 Leverkusen,https://assets.dfb.de/uploads/000/292/198/original_Bayer_04_Leverkusen.jpg?1696941926
SC Freiburg,https://assets.dfb.de/uploads/000/018/224/original_sc-freiburg.jpg?1493059539
TSG Hoffenheim,https://assets.dfb.de/uploads/000/113/632/original_1899_hoffenheim.jpg?1493132487
RB Leipzig,https://assets.dfb.de/uploads/000/300/937/original_RB_Leipzig_500x500_2024.jpg?1712667223
SV Werder Bremen,https://assets.dfb.de/uploads/000/018/246/original_werder-bremen.jpg?1493059547
SGS Essen,https://assets.dfb.de/uploads/000/300/939/original_SGS_Essen_500x500_2024.jpg?1712667234
1. FC Köln,https://assets.dfb.de/uploads/000/018/194/original_fc-koeln.jpg?1493059529
FC Carl Zeiss Jena,https://assets.dfb.de/uploads/000/112/073/original_carl-zeiss-jena.jpg?1493131045
Turbine Potsdam,https://assets.dfb.de/uploads/000/201/602/original_Turbine_Potsdam_Logo_2019_(500).jpg?1561040702
Olympique Lyonnais,https://cdn-transverse.azureedge.net/phlogos/BC500080.jpg
Paris Saint-Germain,https://cdn-transverse.azureedge.net/phlogos/BC500247.jpg
Paris FC,https://cdn-transverse.azureedge.net/phlogos/BC500568.jpg
Dijon FCO,https://cdn-transverse.azureedge.net/phlogos/BC547450.jpg
FC Fleury 91,https://cdn-transverse.azureedge.net/phlogos/BC524861.jpg
Montpellier HSC,https://cdn-transverse.azureedge.net/phlogos/BC500099.jpg
FC Nantes,https://cdn-transverse.azureedge.net/phlogos/BC501904.jpg
Havre AC,https://cdn-transverse.azureedge.net/phlogos/BC500052.jpg
AS Saint Etienne,https://cdn-transverse.azureedge.net/phlogos/BC500225.jpg
Stade de Reims,https://cdn-transverse.azureedge.net/phlogos/BC542397.jpg
RC Strasbourg Alsace,https://cdn-transverse.azureedge.net/phlogos/BC500191.jpg
EA Guingamp,https://cdn-transverse.azureedge.net/phlogos/BC500126.jpg
Como Women,https://www.figc.it/media/246779/fccomowomen_2024.png
Fiorentina,https://www.figc.it/media/175282/logo_fiorentina2022.jpg
Inter,https://www.figc.it/media/136148/logo_femminileintermilano_new2021.png
Juventus,https://www.figc.it/media/123436/logo_juventus2020.png
Lazio,https://www.figc.it/media/143861/logolazio_2021.png
Milan,https://www.figc.it/media/127181/logo_milan_new.jpg
Napoli Femminile,https://www.figc.it/media/143858/logo_napoli_femminil_2021.png
Roma,https://www.figc.it/media/2588/logo_roma.jpg
Sampdoria,https://www.figc.it/media/143941/logo_sampdoria_2021.png
Sassuolo,https://www.figc.it/media/2589/logo_sassuolo.jpg
