Squad,Shield URL
Como Women,https://www.figc.it/media/246779/fccomowomen_2024.png
Fiorentina,https://www.figc.it/media/175282/logo_fiorentina2022.jpg
Inter,https://www.figc.it/media/136148/logo_femminileintermilano_new2021.png
Juventus,https://www.figc.it/media/123436/logo_juventus2020.png
Lazio,https://www.figc.it/media/143861/logolazio_2021.png
Milan,https://www.figc.it/media/127181/logo_milan_new.jpg
Napoli Femminile,https://www.figc.it/media/143858/logo_napoli_femminil_2021.png
Roma,https://www.figc.it/media/2588/logo_roma.jpg
Sampdoria,https://www.figc.it/media/143941/logo_sampdoria_2021.png
Sassuolo,https://www.figc.it/media/2589/logo_sassuolo.jpg
